,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
2519,CCN1CCN2CCS(=O)(=O)N(C)C3C=C(C(O)=[NH+]C(Cc4ccccc4)C(O)C[NH2+]C4CC4)C=C1C32,0,0,0,0,0,0,0,0,-1,0,0
2520,C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,0,0,0,0,-1,-1,0,0,0,0,0
2521,N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,0,0,0,0,0,0,0,0,0,0,-1
2522,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,0,1,1,0,0,0,0,-1,0,0,0
2523,CCCCN1C(=O)C(C(O)C2CCCCC2)N=C(O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,0,0,0,0,1,1,0,0,0,0,0
2524,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCC(O)C(C)(C)O,0,0,0,0,1,0,0,0,0,0,0
2525,CCc1ccccc1-n1c(C)nc2ccccc2c1=O,0,0,1,0,0,0,0,0,0,0,0
2526,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,0,0,0,1,-1,-1,0,0,0,0,0
2527,CCN=c1nc(OC)[nH]c(=NC(C)CC)[nH]1,0,0,0,0,-1,-1,0,0,0,0,0
2528,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O.Cl,0,0,-1,0,0,0,0,0,0,0,0
2529,CCOc1ccc(-c2nc(-c3cccc4c3CCC4NCCO)no2)cc1OCC,0,0,0,0,0,0,0,0,0,0,-1
2530,COc1ccc(CN=c2[nH]c(N3CCC[C@H]3CO)ncc2C(O)=NCc2ncccn2)cc1Cl,0,0,0,1,0,0,-1,0,0,0,0
2531,COCC1(C)CCCN1C(=O)OC(C)(C)C,0,0,0,0,0,0,0,0,0,-1,0
2532,NCC[C@H](O)C(O)=N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O,0,0,0,0,0,0,-1,0,0,0,0
2533,Cl.OC1CNC1,0,0,0,0,0,0,0,0,0,-1,0
2534,C[C@@H]1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1.Cl,0,0,0,0,0,0,-1,0,0,0,0
2535,O=C([O-])CCC(=O)OC[C@@H](N=C(O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1.[Na+],0,0,0,0,0,0,0,0,0,0,-1
2536,CC1CCC(C(C)C)C(O)C1,0,0,0,0,-1,-1,0,0,0,0,0
2537,O=C(O)C(S)C(S)C(=O)O,0,1,0,-1,-1,0,0,-1,0,0,0
2538,ClCCOP(OCCCl)OCCCl,0,0,0,0,-1,-1,0,0,0,0,0
2539,COc1cc(C(=O)O)cc(OC)c1OC,0,0,0,0,0,0,0,0,0,-1,0
2540,CC=CC(=O)C1=C(C)C=CCC1(C)C,0,0,0,0,0,0,0,0,0,0,0
2541,CC(=O)OC1CCCCC1,0,0,0,0,0,0,0,0,0,0,0
2542,CC(=O)SCC(CC(=O)c1ccc(C)cc1)C(=O)O,0,0,0,0,-1,-1,0,0,0,0,0
2543,CC(C)c1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CCC[C@H](C(C)(C)N3CCCCC3=O)C2)c1,0,0,0,0,0,0,0,0,1,0,0
2544,CC(C)(C)CC(C)(C)c1ccc(O)cc1,-1,0,0,0,1,0,0,0,0,0,0
2545,O=C(Oc1ccccc1)c1cccc(C(=O)Oc2ccccc2)c1,0,0,0,0,-1,-1,0,0,0,0,0
2546,C1CCC2OC2C1,0,0,0,0,-1,-1,0,0,0,0,0
2547,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,-1,1,-1,0,0,0,-1,-1,0,0,-1
2548,OC(=Nc1ccccc1)OCC(CN1CCCCC1)OC(O)=Nc1ccccc1,0,0,0,0,-1,-1,0,0,0,0,0
2549,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl,0,0,0,0,0,0,0,0,0,0,-1
2550,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,0,0,0,0,0,-1,0,0,0,0,0
2551,Cc1cc(C)c(O)nn1,0,0,1,0,0,0,0,0,0,0,0
2552,COC(=O)C1C(C)=NC(COC(=N)O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,0,0,0,0,0,1,0,0,0,0,0
2553,CCN(CC)CCN=C(O)c1cc(Br)c(N)cc1OC,0,0,1,0,-1,-1,-1,0,0,0,-1
2554,CCC(C)CCCC(O)=N[C@@H](CC[NH3+])C(O)=N[C@H](C(O)=N[C@@H](CC[NH3+])C(O)=N[C@H]1CCN=C(O)[C@H]([C@@H](C)O)N=C(O)[C@H](CC[NH3+])N=C(O)[C@H](CC[NH3+])N=C(O)[C@H](CC(C)C)N=C(O)[C@@H](CC(C)C)N=C(O)[C@H](CC[NH3+])N=C1O)[C@@H](C)O,-1,0,0,0,0,0,0,0,0,0,0
2555,Cn1nccc1C(=O)NCc1cccs1,0,0,0,0,0,0,0,0,0,-1,0
2556,c1cnc(N2CCC3(CCOC3)C2)cn1,0,0,0,0,0,0,0,0,0,-1,0
2557,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1.O.O.[Na+],0,0,0,0,0,0,-1,0,0,0,0
2558,CCNC1(c2cccs2)CCCCC1=O.Cl,0,0,0,0,0,0,-1,0,0,0,0
2559,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0,0,0,0,0,0,0,0,0,0,-1
2560,CCOP(OCC)OCC,0,0,0,0,-1,-1,0,0,0,0,0
2561,N#CCc1cccc(C(F)(F)F)c1,0,0,0,0,-1,-1,0,0,0,0,0
2562,CC1(C)C(O)=NC(=O)N=C1O,0,0,0,0,-1,-1,0,0,0,0,0
2563,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,0,0,0,0,-1,0,0,0,0,0,0
2564,COC(=O)c1csc(C(=O)c2c[nH]c3ccccc23)n1,0,0,0,0,0,0,0,0,0,0,-1
2565,C[C@H]([NH3+])[C@H](O)c1cccc(O)c1,-1,0,0,0,0,0,0,0,0,0,0
2566,O=C1CCC(O)=N1,0,0,0,0,0,0,0,0,0,0,0
2567,O=S(=O)(O)c1ccc(O)cc1,0,0,0,0,0,-1,0,0,0,0,0
2568,C#Cc1ccc(F)c(CC(N=C(O)COC)C(O)C[NH2+]C2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,0,0,0,0,0,0,0,0,1,0,0
2569,CC1=C(CCC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5C(C)O)c(C)c4C(C)O)C(C)=C3CCC(=O)O,0,0,0,0,0,0,0,0,0,0,1
2570,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,0,0,0,0,0,0,-1,0,0,0,1
2571,CCO[C@@H](Cc1ccc(OCCn2c(C)ccc2-c2ccc(SC)cc2)cc1)C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
2572,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0,1,-1,-1,-1,-1,-1,-1,0,0,-1
2573,CC(C)CC(N=C(O)C(CC(=N)[O-])N=C(O)C(N=C(O)C(CCC(=O)O)N=C(O)C(CO)N=C(O)C(Cc1c[nH]c2ccccc12)N=C(O)C(N)Cc1c[nH]c2ccccc12)C(C)C)C(O)CC(C)C(O)=NC(C)C(O)=NC(CCC(=O)[O-])C(O)=NC(Cc1ccccc1)C(=O)O,0,0,0,0,0,0,0,0,1,0,0
2574,O=C1CC2CC1C1CCCC21,0,0,0,0,-1,-1,0,0,0,0,0
2575,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,0,0,0,0,0,-1,0,0,0,0,0
2576,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,0,0,0,0,0,0,0,0,0,0,0
2577,CN(C(=O)C1CCNC1)c1ccccc1,0,0,0,0,0,0,0,0,0,-1,0
2578,CCCCC(CC)CO,0,0,0,0,-1,-1,0,0,0,0,0
2579,CC(C)(N)c1ncc(-c2ccc(OC(F)(F)F)cc2)[nH]1,0,0,0,0,0,0,0,0,0,0,-1
2580,Fc1ccc(CNC[C@H]2CCCO2)cc1,0,0,0,0,0,0,0,0,0,-1,0
2581,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,0,0,-1,0,0,0,0,0,0,0,0
2582,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,0,1,0,0,0,0,0,0,0,-1
2583,N=C(O)C(O)C1CCOCC1,0,0,0,0,0,0,0,0,0,-1,0
2584,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,0,0,0,0,0,-1,0,0,0,0,0
2585,CC(C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)=CC=CC=C(C)C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,0,0,0,0,-1,-1,0,0,0,0,0
2586,Oc1nc(CCl)nc2sc3c(c12)CCCC3,0,0,0,0,0,0,0,0,0,0,-1
2587,Cc1cc(C)c2nc(-c3ccccn3)cc(C(=O)Nc3ccc(S(=O)(=O)Nc4onc(C)c4C)cc3)c2c1,0,0,0,0,0,0,0,0,0,0,-1
2588,Nc1ccc(Cl)cc1C(=O)c1ccccc1F,0,0,0,0,0,0,0,0,0,0,0
2589,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(O)=NCC(C)(C)C(=N)O)C(C)C)C(C)C)ccc1OC.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(O)=NCC(C)(C)C(=N)O)C(C)C)C(C)C)ccc1OC.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,-1,0,0,0,-1
2590,CC(C)C(=O)N1CCC(Cc2ccccc2)CC1,0,0,0,0,0,0,0,0,0,-1,0
2591,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,0,0,0,0,0,0,0,0,0,0,0
2592,CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1,0,0,0,0,0,0,0,0,0,0,-1
2593,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,0,-1,0,0,0,0,1,1,0,0,-1
2594,CC(O)(P(=O)([O-])[O-])P(=O)(O)O.[Na+].[Na+],0,0,0,0,0,0,0,0,0,0,-1
2595,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21.Cl,0,0,0,0,0,0,0,0,0,0,-1
2596,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2=C(CC(C)(C)CC2=O)N1,0,0,0,0,0,0,0,0,0,0,-1
2597,CC(C)C[C@H](N=C(O)[C@@H]1O[C@H]1C(=O)O)C(O)=NCCCCNC(=N)N,0,0,0,0,0,0,0,0,0,0,-1
2598,COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12,0,0,0,0,0,-1,0,0,0,0,0
2599,OCC1CCC(n2cnc3c(O)ncnc32)O1,0,0,0,1,0,-1,0,0,0,0,0
2600,C[N+](C)(C)CCCCCNCC12CC3CC(CC(C3)C1)C2,0,0,0,0,0,0,0,0,0,0,-1
2601,CS(=O)(=O)N1CCC(O)CC1,0,0,0,0,0,0,0,0,0,-1,0
2602,CCCCCCCCCCCC,0,0,0,0,-1,-1,0,0,0,0,0
2603,CC(O)=N[C@H](Cc1ccc2ccccc2c1)C(O)=N[C@H](Cc1ccc(Cl)cc1)C(O)=N[C@H](Cc1cccnc1)C(O)=N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(O)=N[C@H](CC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(O)=N[C@H](C)C(=N)O,0,0,0,-1,0,0,0,0,0,0,0
2604,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,0,0,0,-1,1,1,0,0,0,0,0
2605,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,0,0,0,0,-1,-1,-1,0,0,0,0
2606,CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C,0,0,0,0,0,0,0,0,0,0,-1
2607,OC(=Nc1ccccc1)Nc1cccnc1,0,0,0,0,0,0,0,0,0,1,0
2608,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,0,0,0,0,0,0,-1,0,0,0,0
2609,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,0,0,0,0,0,1,0,0,0,0
2610,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O=P(O)(O)O,0,0,0,0,0,0,0,0,0,0,-1
2611,CC1(C)Cc2cccc(N)c2O1,0,0,0,0,-1,-1,0,0,0,0,0
2612,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,0,0,0,0,1,0,0,0,0,0,0
2613,Nc1cc([N+](=O)[O-])ccc1O,0,0,0,0,1,-1,0,0,0,0,0
2614,CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1,0,0,0,0,1,-1,0,0,0,0,-1
2615,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2[C@H]1CN1CC[C@@H](O)C1,0,0,1,0,0,0,0,0,0,0,0
2616,Cc1ncc(CO)c(C=O)c1O,0,0,0,0,-1,-1,0,0,0,0,0
2617,Cc1nnc(C(Cc2ccccc2)NC2=NC(C)(C)Cc3cc(Cl)ccc32)o1,0,0,0,0,0,0,0,0,-1,0,0
2618,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0,1,1,1,-1,-1,0,-1,0,0,0
2619,NC1CCCC1c1ccccc1,0,0,1,0,0,0,0,0,0,0,0
2620,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-1,1,-1,1,0,-1,-1,-1,0,0,0
2621,c1ccc2c(c1)Oc1ccccc1O2,0,0,0,0,-1,-1,0,0,0,0,0
2622,CCOc1cc(N)c(Cl)cc1C(O)=NCC1CN(Cc2ccc(F)cc2)CCO1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
2623,CCn1c2ccccc2c2cc([N+](=O)[O-])ccc21,0,0,0,0,0,1,0,0,0,0,0
2624,COC(O)=Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1,0,0,0,0,-1,1,-1,0,0,0,-1
2625,N[C@@H](CS(=O)O)C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
2626,CO[C@@H]1C(O)[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@@H]3C2)OC(C)[C@@H]1O,0,0,0,0,0,0,0,0,0,0,-1
2627,Cc1ccc(-n2[nH]c(C)c(N/N=C3\C=CC=C(c4cccc(C(=O)O)c4)C3=O)c2=O)cc1C,0,0,0,-1,0,0,0,0,0,0,0
2628,O=C(c1ccccc1)C(O)c1ccccc1,0,0,0,0,-1,-1,0,0,0,0,-1
2629,O=C(c1ccccc1)c1cccc(O)c1,0,0,0,0,1,-1,0,0,0,0,0
2630,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)=C(O)O1,0,-1,0,0,0,0,0,1,0,0,0
2631,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N=C([O-])CSc3ccncc3)[C@H]2SC1,-1,0,0,0,0,0,0,0,0,0,0
2632,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,-1,0,0,0,0,0,0,0,0,0,-1
2633,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.CS(=O)(=O)O.CS(=O)(=O)O,0,0,0,0,0,0,-1,0,0,0,-1
2634,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,0,0,0,-1,-1,-1,0,0,0,0,0
2635,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,0,0,1,0,0,0,0,0,0,0,0
2636,N[C@@H](CC(=O)O)C(=O)O,0,0,0,0,0,0,0,0,0,0,-1
2637,O=[N+]([O-])c1ccc(Cl)c(C(O)=Nc2ccccc2)c1,0,0,0,0,0,0,0,0,0,0,-1
2638,CC(=O)OO,0,0,0,0,-1,-1,0,0,0,0,0
2639,CN1C[C@H](C(O)=N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,0,0,0,0,0,0,0,0,0,0,-1
2640,CO/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nc(=N)s[nH]1.Cl,0,0,0,0,0,0,-1,0,0,0,0
2641,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0,0,0,0,0,0,0,0,0,0,-1
2642,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC,0,0,0,0,0,0,0,0,0,0,-1
2643,O=C(O)/C=C/c1cnc[nH]1,0,0,0,0,0,0,0,0,0,0,-1
2644,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,0,0,0,0,0,0,-1,0,0,0,0
2645,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,0,0,0,0,0,-1,0,0,0,0,0
2646,OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,0,0,0,0,-1,-1,0,0,0,0,0
2647,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Ca+2],0,0,0,0,0,0,0,0,0,0,-1
2648,O=C(O)C(c1ccccc1)(c1ccccc1)c1ccccc1.OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,0,0,0,0,0,0,0,0,0,0,-1
2649,COc1ccc(N=C(C)O)cc1N,0,0,0,0,-1,-1,0,0,0,0,0
2650,CC1COC(=O)O1,0,0,0,0,-1,-1,0,0,0,0,0
2651,CC(C)(C)N=C(O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,0,0,0,0,0,0,-1,0,0,0,0
2652,COc1nc(C)nc(Cl)c1NC1=NCCN1.Cl,0,0,0,0,0,0,0,0,0,0,-1
2653,N=C(O)NCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,0,0,1,0,0,0,0,0,0,0,-1
2654,CC(O)C(O)=NCc1ccccn1,0,0,0,0,0,0,0,0,0,-1,0
2655,CCO,-1,0,1,0,-1,-1,0,0,0,0,0
2656,O=C(O)Cn1cnnn1,0,0,0,0,0,0,0,0,0,0,0
2657,O=P([O-])([O-])C(Cl)(Cl)P(=O)(O)O.[Na+].[Na+],0,0,0,0,0,0,-1,0,0,0,-1
2658,CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,0,0,0,0,0,0,0,0,0,0,-1
2659,COC(=O)CN1C(C)=C(C(O)=NOCc2ccccc2)[C@@H](C)C(C(O)=N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)=C1C,0,0,0,0,0,0,0,0,-1,0,0
2660,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(CC)n(Cc3ccccn3)nc2c(=O)[nH]1,0,0,0,0,1,-1,0,0,0,0,0
2661,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,0,0,0,0,0,0,0,0,0,0,-1
2662,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0,0,0,0,0,-1,0,0,0,0,-1
2663,O=C(CCl)N1CCN(c2ccccc2Cl)CC1,0,0,0,0,0,0,0,0,0,-1,0
2664,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](N=C(O)Cc3csc(=N)[nH]3)[C@H]2SC1.Cl,0,0,0,0,0,0,0,0,0,0,-1
2665,COc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)C2=CN(CC(=O)OC(C)C)C(C)=C(C(C)=O)[C@H]2C)c1,0,0,0,0,0,0,0,0,-1,0,0
2666,CCCCCCCCCCCCCCC(=O)O,0,0,0,0,-1,-1,0,0,0,0,0
2667,CCN(CC)C(O)=NC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,0,0,0,0,-1,-1,0,0,0,0,0
2668,CN1C(=O)c2c(nn(Cc3ccc(-c4cccc(F)n4)cc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12.O=P(O)(O)O,0,0,0,0,0,0,0,0,0,0,-1
2669,CN=C(O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F,0,0,0,0,0,0,0,0,0,0,-1
2670,N=C(N)Nc1nc(-c2cccc(N)c2)cs1,0,0,1,0,0,0,0,0,0,0,0
2671,COC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,0,0,0,0,0,0,0,0,0,0,0
2672,CC1CCC2(NC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,0,0,0,0,0,-1,0,0,0,0,0
2673,CC(C)CC(CC(O)=NCc1cccc(F)c1)n1c(=N)[nH]c2cc(Cl)ccc21,0,0,0,0,0,0,0,0,-1,0,0
2674,CCCc1cc(CC2CS(=O)(=O)CC([NH2+]Cc3cccc(C(C)C)c3)C2O)ccc1O,0,0,0,0,0,0,0,0,-1,0,0
2675,Cn1cccc1/C=C1\C(=O)N=C(O)c2ccccc21,0,0,0,0,0,0,0,0,0,0,-1
2676,CS(=O)(=O)O.Cc1ccc2c(c1)c1c3n2CCNC3CCC1,0,0,0,0,0,0,-1,0,0,0,-1
2677,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCC(C)(C)O)CC(O)CC1O,0,0,0,0,-1,1,0,0,0,0,0
2678,CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC,0,0,0,0,0,0,0,0,0,0,1
2679,CCN1C=CN(C)C1C,0,0,0,0,-1,-1,0,0,0,0,0
2680,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0,0,0,0,0,0,-1,0,0,0,-1
2681,O=C1Nc2ccccc2C1=O,0,0,0,0,0,-1,0,0,0,0,0
2682,CC(=O)OCCCc1ccccc1,0,0,0,0,-1,-1,0,0,0,0,0
2683,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(N[C@@H](C)c3ccccc3)c2)[nH]1,0,0,0,0,0,0,0,0,0,0,-1
2684,O=C(O)c1ccc(O)cc1O,0,0,0,0,-1,-1,0,0,0,0,0
2685,CCC(C)N=C(O)c1ccccc1N,0,0,0,0,0,0,0,0,0,-1,0
2686,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1.O=C(O)CCC(=O)O,0,0,1,0,0,0,0,0,0,0,0
2687,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0,0,0,-1,0,-1,0,0,0,0,0
2688,COc1cc(S(N)(=O)=O)cc(C(=O)O)c1OC,0,0,0,0,0,0,0,0,0,0,0
2689,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,0,0,1,0,0,0,0,0,0,0,0
2690,CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,0,0,0,0,0,-1,0,0,0,0,0
2691,Fc1ccc(Br)cc1,0,0,0,0,-1,-1,0,0,0,0,0
2692,CC(C)(C)c1cccc(CNC2CS(=O)(=O)CC(Cc3ccc([NH3+])c(F)c3)C2O)c1,0,0,0,0,0,0,0,0,-1,0,0
2693,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,-1,0,0,0,0,0,0,0,0,0,0
2694,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1csc(C(F)(F)F)n1,0,0,0,0,-1,-1,0,0,0,0,0
2695,C[N+](C)(C)CCCCCC[N+](C)(C)C,0,0,0,0,-1,-1,0,0,0,0,0
2696,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1c(F)c(F)cc(F)c1F,0,0,0,0,1,-1,0,0,0,0,0
2697,CO/N=C(\C(O)=NC1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(=N)[nH]1,0,1,-1,0,0,0,0,-1,0,0,0
2698,CCc1c(C)c2cc3nc(cc4nc(cc5[nH]c(cc1[nH]2)c(C)c5C(C)O)C(C)=C4CCC(=O)O)C(CCC(=O)O)=C3C.[Na+],0,0,0,1,0,0,0,0,0,0,0
2699,CN(C)C(=O)CCS[C@@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,0,0,0,0,0,0,0,0,0,0,-1
2700,c1cc(CN2CCC[NH2+]CC[NH2+]CCCNCC2)ccc1CN1CCC[NH2+]CC[NH2+]CCCNCC1,-1,0,0,0,0,0,0,0,0,0,0
2701,COc1ccc2ccn(CC(O)=NC(=[NH2+])NCc3cc(Cl)c(N=C(C)O)c(Cl)c3)c2c1,0,0,0,0,0,0,0,0,-1,0,0
2702,CCOC(=O)c1ccc(O)c(O)c1,0,0,0,0,0,0,0,0,0,0,0
2703,OC1=NCCc2[nH]c(-c3ccncc3)cc21,0,0,0,0,0,0,0,0,0,0,-1
2704,CNc1ccc([N+](=O)[O-])cc1-n1cnc(-c2ccc(C(F)(F)F)cc2)c1,0,0,0,0,0,0,0,0,0,0,-1
2705,O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,0,0,0,0,0,0,0,0,0,1,0
2706,C=C(C)C1CC=C(C)CC1,0,0,0,0,-1,-1,0,0,0,0,0
